dataset_label,source_or_family,format,json_top_level_type,candidate_record_path,exact_record_count,estimated_record_count,field_path,inferred_scalar_type,null_count,null_rate,unique_count_or_status,min_string_length,median_string_length,max_string_length,language_script_profile,candidate_text,candidate_id,candidate_metadata,name_suggests_korean,name_suggests_english,name_suggests_source_target_original_translation,name_suggests_cleaning_normalization,evidence_status
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.sn,"{""string"": 150038}",0,0.0,150038,12,13,14,,False,True,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.source,"{""string"": 150038}",0,0.0,1,7,7,7,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.source_language,"{""string"": 150038}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.style,"{""string"": 150038}",0,0.0,1,3,3,3,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.subdomain,"{""string"": 150038}",0,0.0,1,5,5,5,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.target_language,"{""string"": 150038}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.word_count_en,"{""number"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.word_count_ko,"{""number"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.word_ratio,"{""number"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.data_set,"{""string"": 150000}",0,0.0,1,8,8,8,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.domain,"{""string"": 150000}",0,0.0,3,4,4,8,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.en,"{""string"": 150000}",0,0.0,137112,1,50,543,"{""digit"": 0.00418429, ""emoji_symbol"": 8.59e-06, ""hangul"": 4.9e-07, ""latin"": 0.79383692, ""other"": 0.0044468, ""punctuation"": 0.03459661, ""whitespace"": 0.1629263}",True,False,False,False,True,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.file_name,"{""string"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,12,16,16,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.included_unknown_words,"{""boolean"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.ko,"{""string"": 150000}",0,0.0,139549,2,25,282,"{""digit"": 0.00924285, ""emoji_symbol"": 1.948e-05, ""hangul"": 0.71290387, ""latin"": 0.01309158, ""other"": 0.00926307, ""punctuation"": 0.04784777, ""whitespace"": 0.20763138}",True,False,False,True,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.ko_original,"{""string"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,2,25,282,,True,False,False,True,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.license,"{""string"": 150000}",0,0.0,1,4,4,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.mt,"{""string"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,1,49,295,,True,False,False,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.ner,"{""null"": 145598, ""object"": 4402}",145598,0.9706533333333334,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.sn,"{""string"": 150000}",0,0.0,150000,19,25,26,,False,True,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.source,"{""string"": 150000}",0,0.0,2,3,6,6,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.source_language,"{""string"": 150000}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.style,"{""string"": 150000}",0,0.0,1,3,3,3,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.subdomain,"{""string"": 150000}",0,0.0,11,2,5,9,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.target_language,"{""string"": 150000}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.word_count_en,"{""integer"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.word_count_ko,"{""integer"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_KO_TO_EN,JSON,object,root.data[*],150000,150000,root.data.word_ratio,"{""number"": 150000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.data_set,"{""string"": 1200144}",0,0.0,1,6,6,6,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.domain,"{""string"": 1200144}",0,0.0,5,2,2,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.en,"{""string"": 1200144}",0,0.0,1200108,1,173,2208,"{""digit"": 0.01122961, ""emoji_symbol"": 1.558e-05, ""hangul"": 4.6e-06, ""latin"": 0.81435243, ""other"": 0.00018026, ""punctuation"": 0.02012768, ""whitespace"": 0.15408985}",True,False,False,False,True,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.file_name,"{""string"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,10,12,15,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.included_unknown_words,"{""boolean"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.ko,"{""string"": 1200144}",0,0.0,1200092,2,77,684,"{""digit"": 0.02781219, ""emoji_symbol"": 0.00019245, ""hangul"": 0.6908983, ""latin"": 0.02021025, ""other"": 0.00034866, ""punctuation"": 0.03782554, ""whitespace"": 0.22271261}",True,False,False,True,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.ko_original,"{""string"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,2,77,684,,True,False,False,True,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.license,"{""string"": 1200144}",0,0.0,1,4,4,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.mt,"{""string"": 1200144}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,3,172,723,,True,False,False,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.ner,"{""null"": 1003831, ""object"": 196313}",1003831,0.83642546227786,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.sn,"{""string"": 1200144}",0,0.0,1200144,8,21,24,,False,True,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.source,"{""string"": 1200144}",0,0.0,2,5,6,6,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.source_language,"{""string"": 1200144}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.style,"{""string"": 1200144}",0,0.0,1,3,3,3,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_026,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200144,1200144,root.data.subdomain,"{""string"": 1200144}",0,0.0,15,2,4,6,,False,False,True,False,False,False,False,LOCAL_OBSERVED
